INFO 2024-08-01 23:57:15,480 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-01 23:57:15,742 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1699544495.8222134
DEBUG 2024-08-01 23:57:15,742 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\enum.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,742 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1699555232.0500054
DEBUG 2024-08-01 23:57:15,746 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1699544495.8222134
DEBUG 2024-08-01 23:57:15,747 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\encodings\utf_8.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,747 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\contrib\contenttypes\__init__.py first seen with mtime 1699555230.890872
DEBUG 2024-08-01 23:57:15,747 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1699555232.081888
DEBUG 2024-08-01 23:57:15,747 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\wsgiref\headers.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,747 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\db\models\query.py first seen with mtime 1699555232.0656927
DEBUG 2024-08-01 23:57:15,747 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\json\scanner.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,747 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\template\response.py first seen with mtime 1699555232.1456454
DEBUG 2024-08-01 23:57:15,747 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1699555232.1775656
DEBUG 2024-08-01 23:57:15,754 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\utils\tree.py first seen with mtime 1699555232.1876123
DEBUG 2024-08-01 23:57:15,754 autoreload File E:\DjangoProject\DjangoApplication\UAS\participant\__init__.py first seen with mtime 1722278254.6946206
DEBUG 2024-08-01 23:57:15,754 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\asyncio\protocols.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,754 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\sqlparse\sql.py first seen with mtime 1699544495.8222134
DEBUG 2024-08-01 23:57:15,754 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\subprocess.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,754 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1699555232.1876123
DEBUG 2024-08-01 23:57:15,754 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1699555232.2038841
DEBUG 2024-08-01 23:57:15,761 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\template\defaultfilters.py first seen with mtime 1699555232.1456454
DEBUG 2024-08-01 23:57:15,761 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\textwrap.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,762 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\email\_parseaddr.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,762 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1699544495.8054142
DEBUG 2024-08-01 23:57:15,762 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\contrib\auth\password_validation.py first seen with mtime 1699555230.7469952
DEBUG 2024-08-01 23:57:15,762 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\http\request.py first seen with mtime 1699555232.1456454
DEBUG 2024-08-01 23:57:15,762 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1699555232.0500054
